pair_id,imageA,imageB,dimension
59,sampled_images/26917_108.928_34.3116_90_0.png,sampled_images/34519_108.897_34.2805_90_0.png,Greenery
60,sampled_images/54730_109.07_34.2796_90_0.png,sampled_images/74483_109.081_34.3741_90_0.png,Greenery
61,sampled_images/103576_108.85_34.1878_90_0.png,sampled_images/88278_109.002_34.237_90_0.png,Greenery
62,sampled_images/104595_108.961_34.28_90_0.png,sampled_images/25359_109.045_34.3266_90_0.png,Greenery
63,sampled_images/16469_108.843_34.3638_90_0.png,sampled_images/86626_108.959_34.2428_90_0.png,Greenery
64,sampled_images/34862_108.909_34.2242_90_0.png,sampled_images/74698_109.046_34.2405_90_0.png,Greenery
65,sampled_images/25428_108.929_34.2428_90_0.png,sampled_images/77074_108.848_34.3469_90_0.png,Greenery
66,sampled_images/108663_108.888_34.2486_90_0.png,sampled_images/51721_109.015_34.371_90_0.png,Greenery
67,sampled_images/16270_108.99_34.4055_90_0.png,sampled_images/33804_109.044_34.2981_90_0.png,Greenery
68,sampled_images/46503_108.897_34.1592_90_0.png,sampled_images/74483_109.081_34.3741_90_0.png,Greenery
69,sampled_images/22898_109.004_34.3976_90_0.png,sampled_images/54730_109.07_34.2796_90_0.png,Greenery
70,sampled_images/34282_108.956_34.312_90_0.png,sampled_images/47193_108.838_34.2343_90_0.png,Greenery
71,sampled_images/16546_109.051_34.3409_90_0.png,sampled_images/57297_108.953_34.2133_90_0.png,Greenery
72,sampled_images/104456_108.925_34.3505_90_0.png,sampled_images/29939_108.998_34.3555_90_0.png,Greenery
73,sampled_images/27058_108.886_34.2879_90_0.png,sampled_images/96888_108.869_34.1739_90_0.png,Greenery
74,sampled_images/103222_108.972_34.1893_90_0.png,sampled_images/70284_108.938_34.2701_90_0.png,Greenery
75,sampled_images/104796_108.984_34.144_90_0.png,sampled_images/18201_108.931_34.3284_90_0.png,Greenery
76,sampled_images/103272_108.93_34.1891_90_0.png,sampled_images/67174_108.915_34.3499_90_0.png,Greenery
77,sampled_images/29897_108.934_34.2174_90_0.png,sampled_images/93915_109.055_34.2785_90_0.png,Greenery
78,sampled_images/104796_108.984_34.144_90_0.png,sampled_images/44676_108.952_34.2137_90_0.png,Greenery
79,sampled_images/14963_109.042_34.2961_90_0.png,sampled_images/51089_109.042_34.2522_90_0.png,Greenery
80,sampled_images/104568_108.967_34.2978_90_0.png,sampled_images/16546_109.051_34.3409_90_0.png,Greenery
81,sampled_images/109736_108.848_34.1602_90_0.png,sampled_images/16546_109.051_34.3409_90_0.png,Greenery
82,sampled_images/103521_109.015_34.2103_90_0.png,sampled_images/106225_108.9_34.1885_90_0.png,Greenery
83,sampled_images/105540_108.972_34.2366_90_0.png,sampled_images/62154_108.964_34.148_90_0.png,Greenery
84,sampled_images/34951_108.87_34.2073_90_0.png,sampled_images/86324_108.925_34.3348_90_0.png,Greenery
85,sampled_images/103815_108.928_34.2526_90_0.png,sampled_images/109720_108.894_34.2904_90_0.png,Greenery
86,sampled_images/34519_108.897_34.2805_90_0.png,sampled_images/84047_108.97_34.1583_90_0.png,Greenery
87,sampled_images/86324_108.925_34.3348_90_0.png,sampled_images/90354_108.931_34.3859_90_0.png,Greenery
88,sampled_images/46137_108.858_34.3228_90_0.png,sampled_images/91239_108.818_34.164_90_0.png,Greenery
89,sampled_images/109757_108.879_34.1264_90_0.png,sampled_images/46107_108.884_34.3264_90_0.png,Greenery
90,sampled_images/109779_108.814_34.179_90_0.png,sampled_images/79920_108.875_34.1625_90_0.png,Greenery
91,sampled_images/19272_108.807_34.1177_90_0.png,sampled_images/70284_108.938_34.2701_90_0.png,Greenery
